pathogen,k,model_type,f1,f1_std,n_pos,n_neg
Phytophthora infestans,3,KNN,0.6507,0.0118,621,621
Phytophthora infestans,3,RandomForest,0.6089,0.0356,621,621
Phytophthora infestans,3,MLP,0.5963,0.0492,621,621
Phytophthora infestans,4,GaussianNB,0.6743,0.0251,621,621
Phytophthora infestans,4,BernoulliNB,0.6229,0.0376,621,621
Phytophthora infestans,4,SVC_RBF,0.6806,0.0304,621,621
Phytophthora infestans,4,NuSVC,0.6561,0.0236,621,621
Phytophthora infestans,4,LogisticRegression,0.6372,0.0111,621,621
Phytophthora infestans,4,KNN,0.6783,0.025,621,621
Phytophthora infestans,4,RandomForest,0.6252,0.0469,621,621
Phytophthora infestans,4,MLP,0.6104,0.0232,621,621
Phytophthora infestans,5,GaussianNB,0.6618,0.0242,621,621
Phytophthora infestans,5,BernoulliNB,0.5928,0.0314,621,621
Phytophthora infestans,5,SVC_RBF,0.6651,0.0359,621,621
Phytophthora infestans,5,NuSVC,0.624,0.0359,621,621
Phytophthora infestans,5,LogisticRegression,0.6224,0.0293,621,621
Phytophthora infestans,5,KNN,0.6498,0.0297,621,621
Phytophthora infestans,5,RandomForest,0.6122,0.0282,621,621
Phytophthora infestans,5,MLP,0.5832,0.0356,621,621
Potato virus A,2,GaussianNB,0.6339,0.028,779,779
Potato virus A,2,BernoulliNB,0.5363,0.0256,779,779
Potato virus A,2,SVC_RBF,0.606,0.0208,779,779
Potato virus A,2,NuSVC,0.5895,0.0172,779,779
Potato virus A,2,LogisticRegression,0.5429,0.0236,779,779
Potato virus A,2,KNN,0.5595,0.0141,779,779
Potato virus A,2,RandomForest,0.5549,0.0366,779,779
Potato virus A,2,MLP,0.5561,0.0277,779,779
Potato virus A,3,GaussianNB,0.6298,0.0224,779,779
Potato virus A,3,BernoulliNB,0.526,0.0356,779,779
Potato virus A,3,SVC_RBF,0.602,0.0129,779,779
Potato virus A,3,NuSVC,0.5879,0.018,779,779
Potato virus A,3,LogisticRegression,0.5265,0.0244,779,779
Potato virus A,3,KNN,0.6125,0.0245,779,779
Potato virus A,3,RandomForest,0.5393,0.0344,779,779
Potato virus A,3,MLP,0.5314,0.0329,779,779
Potato virus A,4,GaussianNB,0.6277,0.0173,779,779
Potato virus A,4,BernoulliNB,0.5196,0.0239,779,779
